candidate,c2_feature_groups,n_feature_groups,recency_half_life_days,model,WAPE,MAE,RMSE,BiasRatio,Coverage,test_aligned_WAPE,elapsed_seconds,n_oof_rows
single_lifecycle,lifecycle,1,365.0,XGBoost,0.3016056412882406,13.898715068713326,21.810756484834464,0.01069416578058151,1.0,0.28939057979999316,57.93695483299962,826
single_lifecycle,lifecycle,1,365.0,LightGBM,0.2833818261055098,13.058917730680104,19.75612950375694,0.02751604341130605,1.0,0.27313584294242016,57.93695483299962,826
single_lifecycle,lifecycle,1,365.0,DynamicRidge,0.4258806782522189,19.625608377268613,32.18634328934311,0.18898050666201438,1.0,0.3916288361175366,57.93695483299962,826
single_lifecycle,lifecycle,1,365.0,SeasonalNaive,0.5504337381556119,25.365313653136532,38.54854290244443,0.2947284131856399,1.0,0.6160467728032073,57.93695483299962,826
single_lifecycle,lifecycle,1,365.0,MovingAvg28,0.4444305080765778,20.480429255952014,31.616861817439048,0.009393574133998524,1.0,0.43846176962534256,57.93695483299962,826
single_market,market,1,365.0,NeuralNet,0.2898340867653092,13.356253457149212,20.947614961545895,-0.03236245542363774,1.0,0.3072267822828498,60.983970249995764,826
single_market,market,1,365.0,XGBoost,0.27760761768305936,12.792828285972718,21.033144022931026,-0.05447683171119929,1.0,0.2747318414653129,60.983970249995764,826
single_market,market,1,365.0,LightGBM,0.276133514057567,12.724898037105469,20.210884034922774,-0.03054254945553019,1.0,0.2714568944223913,60.983970249995764,826
single_market,market,1,365.0,DynamicRidge,0.3714044745449197,17.11521357789104,30.488648813067268,0.11587329114150034,1.0,0.35787378793104574,60.983970249995764,826
single_market,market,1,365.0,SeasonalNaive,0.5504337381556119,25.365313653136532,38.54854290244443,0.2947284131856399,1.0,0.6160467728032073,60.983970249995764,826
single_market,market,1,365.0,MovingAvg28,0.4444305080765778,20.480429255952014,31.616861817439048,0.009393574133998524,1.0,0.43846176962534256,60.983970249995764,826
single_event,event,1,365.0,NeuralNet,0.297550699491244,13.711853574956283,21.765890750312177,-0.007116787874391182,1.0,0.2947716982454489,59.708049166998535,826
single_event,event,1,365.0,XGBoost,0.2884197470010019,13.29107727108553,21.157996751645655,-0.0068477046405395646,1.0,0.2742556904921244,59.708049166998535,826
