candidate,stage,training_window_days,recency_half_life_days,baseline_variant,enable_trend_features,model,WAPE,MAE,RMSE,BiasRatio,Coverage,test_aligned_WAPE,elapsed_seconds,n_oof_rows
window730_half180,recency,730.0,180.0,weighted_4321,False,LightGBM,0.2898209711173086,13.355649056469822,20.7048360827552,0.018220721805078173,1.0,0.27914543094951444,45.96242108300066,826
window730_half180,recency,730.0,180.0,weighted_4321,False,DynamicRidge,0.41180422667920563,18.97693155293535,31.319897890524665,0.14290073722079905,1.0,0.3802053175545901,45.96242108300066,826
window730_half180,recency,730.0,180.0,weighted_4321,False,SeasonalNaive,0.5504337381556119,25.365313653136532,38.54854290244443,0.2947284131856399,1.0,0.6160467728032073,45.96242108300066,826
window730_half180,recency,730.0,180.0,weighted_4321,False,MovingAvg28,0.4444305080765778,20.480429255952014,31.616861817439048,0.009393574133998524,1.0,0.43846176962534256,45.96242108300066,826
window365,recency,365.0,,weighted_4321,False,NeuralNet,0.3348144215101647,15.429055721867554,25.099078407721837,0.017343527811440496,1.0,0.3258175742637057,35.69800545899852,826
window365,recency,365.0,,weighted_4321,False,XGBoost,0.30313312357773087,13.969105135104167,23.032399338534617,-0.014199193909985032,1.0,0.2883886558839776,35.69800545899852,826
window365,recency,365.0,,weighted_4321,False,LightGBM,0.3020467701584924,13.919043350538644,22.982112420221547,-0.00803694617051428,1.0,0.28110212798393786,35.69800545899852,826
window365,recency,365.0,,weighted_4321,False,DynamicRidge,0.48426786715717385,22.31623080325156,36.606347761227696,0.21630365388759001,1.0,0.45018016293765434,35.69800545899852,826
window365,recency,365.0,,weighted_4321,False,SeasonalNaive,0.5504337381556119,25.365313653136532,38.54854290244443,0.2947284131856399,1.0,0.6160467728032073,35.69800545899852,826
window365,recency,365.0,,weighted_4321,False,MovingAvg28,0.4444305080765778,20.480429255952014,31.616861817439048,0.009393574133998524,1.0,0.43846176962534256,35.69800545899852,826
window365_half180,recency,365.0,180.0,weighted_4321,False,NeuralNet,0.3189218016445447,14.696685484148666,22.671377488315564,0.02996760052207055,1.0,0.3130624205628042,34.725298624998686,826
window365_half180,recency,365.0,180.0,weighted_4321,False,XGBoost,0.29706639413694885,13.689535616655338,21.554341870294113,-0.003938748167367098,1.0,0.2850231798803266,34.725298624998686,826
window365_half180,recency,365.0,180.0,weighted_4321,False,LightGBM,0.3024619620043303,13.938176391749364,22.4118874987471,-0.0007121003964356804,1.0,0.27297632040843184,34.725298624998686,826
