origin_type,strategy,ProductId,model,n,actual_total,prediction_total,MAE,RMSE,MAPE,WAPE,sMAPE,RMSLE,Bias,BiasRatio
development,direct,23,Ensemble,84,2015.0,2178.5642194708093,5.342088089480406,6.474321568335036,43.00863029915224,0.22269746874260749,0.2772016018658632,0.38399149005290734,1.9471930889382096,0.08117330991107176
development,direct,23,XGBoost,84,2015.0,2144.1174697875977,5.571638334365118,7.203934562775517,35.13510153946576,0.23226680897601484,0.26239920904009406,0.3346358952007478,1.5371127355666387,0.0640781487779641
development,direct,23,LightGBM,84,2015.0,2190.183069229126,5.482877027420771,6.651308548683111,41.202259065634,0.22856658575848374,0.2777054797692805,0.37451099374023433,2.0855127289181663,0.08693948845117914
development,direct,23,DynamicRidge,84,2015.0,2077.0501050949097,7.471792981738136,9.917535539378777,50.60978315979272,0.3114792111493814,0.35322917824870614,0.4560285597894186,0.7386917273203532,0.030794096821295122
development,direct,23,SeasonalNaive,84,2015.0,2724.3333333333335,14.03968253968254,18.520402020617453,122.5242540077519,0.585277088502895,0.5129413778495365,0.7588956795209885,8.444444444444445,0.3520264681555004
development,direct,23,MovingAvg28,84,2015.0,2570.611111111112,11.077853363567648,13.977224658954174,111.82091241252338,0.4618062940643585,0.4627794594794527,0.7006552800787764,6.614417989417988,0.2757375241246208
development,direct,24,NeuralNet,56,3743.0,3811.710218307958,18.054294497983957,22.095728136675525,42.48094662605259,0.27011501252661013,0.31934481635180745,0.4329996676637543,1.2269681840706763,0.018356991265818294
development,direct,24,Ensemble,56,3743.0,3835.2914795437764,12.875837488896364,17.026986959872833,29.653673376717688,0.1926387655298414,0.23749636477331545,0.3343081155531316,1.6480621347102886,0.024657087775521284
development,direct,24,XGBoost,56,3743.0,3795.307466506958,13.256137541362218,18.31740600270318,27.564833986620602,0.19832853388092017,0.23147643782092736,0.3281879527747789,0.9340619019099644,0.01397474392384665
development,direct,24,LightGBM,56,3743.0,3882.6895751953125,14.039409909929548,17.913127957141114,27.882446348120354,0.21004727623725747,0.2445089721915165,0.3163192731572908,2.4944566999162947,0.03732021779196166
development,direct,24,DynamicRidge,56,3743.0,4192.646348953247,22.77587185587202,31.578422090980244,45.111307600901604,0.34075576380679484,0.329227235902704,0.45869665256235204,8.029399088450841,0.12012993560065377
development,direct,24,SeasonalNaive,56,3743.0,4900.666666666667,32.708333333333336,47.67114114863099,93.2555285579099,0.48935791254786715,0.42719127625740866,0.7041301678305345,20.672619047619047,0.3092884495502716
development,direct,24,MovingAvg28,56,3743.0,4463.777777777777,31.09807256235828,42.00923612287077,82.73192029657838,0.46526638084212224,0.42332457722104083,0.6599323373585632,12.871031746031743,0.19256686555644606
development,direct,25,NeuralNet,84,4166.0,3874.2893597951684,21.1835985883766,35.15708507585956,51.55849060756981,0.427129688291799,0.4372485663622462,0.612756616639026,-3.4727457167241886,-0.0700217571303005
development,direct,25,Ensemble,84,4166.0,3725.6364113380127,18.87213489774706,31.44686749212446,42.353826005264125,0.38052312323829884,0.37859975808625324,0.4955792685766521,-5.2424236745474655,-0.10570417394670839
development,direct,25,XGBoost,84,4166.0,3794.4047708511353,18.09593635513669,28.49619548947607,39.4236011063922,0.3648724565125977,0.35656010812345107,0.4622250089772065,-4.423752727962675,-0.0891971265359733
