model,evaluation_regime,comparison_population,aggregation,n_folds,n_expected,n_actual,n_predicted,n_scored,coverage,MAE,RMSE,MAPE,WAPE,sMAPE,RMSLE,Bias,BiasRatio,n,strategy,horizon,origin_type
MovingAvg28,realized,common,global,12,347,347,344,344,0.9913544668587896,34.56963554061001,55.97700777894513,129.38715294562755,0.6335617808188515,0.6161335259778744,0.8616235519871995,-7.274723717702738,-0.13332471810813756,344.0,direct,2,development
MovingAvg28,realized,common,mean_fold,12,347,347,344,344,0.9913544668587896,33.85104619056914,42.46783982777994,127.07626444544616,0.7447175333082506,0.6132540348778617,0.8076067617647246,-7.161226906703959,0.3425536373085099,28.666666666666668,direct,2,development
NeuralNet,realized,model_specific,global,12,347,347,347,347,1.0,15.084638775478679,24.802515802987795,56.497543777732226,0.27886892142200864,0.3698729195714675,0.5186668344332072,-4.635856600919711,-0.08570283646878742,347.0,direct,2,development
NeuralNet,realized,model_specific,mean_fold,12,347,347,347,347,1.0,14.885564076917069,19.70483913481679,56.69110011071152,0.31718075319911915,0.37210863424896573,0.5048031921084896,-4.479859408828445,0.03135479215906563,28.916666666666668,direct,2,development
Ensemble,realized,model_specific,global,12,347,347,347,347,1.0,13.819256842882863,23.623001072989442,46.965330722016496,0.25547587237508546,0.3420211748729429,0.48091927538363305,-4.8992525851351,-0.090572224136488,347.0,direct,2,development
Ensemble,realized,model_specific,mean_fold,12,347,347,347,347,1.0,13.615619616264476,17.478636411135092,47.24062484032603,0.279995077868131,0.34371894346175685,0.4675802678585421,-4.672179025721064,0.0075794620566923335,28.916666666666668,direct,2,development
XGBoost,realized,model_specific,global,12,347,347,347,347,1.0,14.654810748500507,26.318652858730076,42.56667519401957,0.2709227133580009,0.35723228725623885,0.49080654162319864,-6.287775679048613,-0.11624177733776604,347.0,direct,2,development
XGBoost,realized,model_specific,mean_fold,12,347,347,347,347,1.0,14.428261379124292,18.88809338438086,42.84884319148683,0.2947640772524414,0.358886053193823,0.47361934354398527,-6.025272003224436,-0.00812250801265864,28.916666666666668,direct,2,development
LightGBM,realized,model_specific,global,12,347,347,347,347,1.0,14.277586007496122,25.663626765880885,45.31193433267468,0.26394897946729645,0.3435260903410381,0.47445608075259194,-4.252308433440645,-0.07861220172636675,347.0,direct,2,development
LightGBM,realized,model_specific,mean_fold,12,347,347,347,347,1.0,14.08549378340261,19.1163624935979,45.68124959539895,0.28144608807359034,0.3451517042809094,0.4571921872869658,-3.9823375326582435,-0.004301631070273447,28.916666666666668,direct,2,development
DynamicRidge,realized,model_specific,global,12,347,347,347,347,1.0,30.023915778577155,118.39096802312494,723.1392182497701,0.555050547424948,0.45453429517341676,0.7938672669299153,4.1397575247356455,0.07653147901349329,347.0,direct,2,development
DynamicRidge,realized,model_specific,mean_fold,12,347,347,347,347,1.0,29.805756715940394,65.83404204349111,744.7739413703248,0.5997439048614883,0.4555308017328188,0.7194814749026577,4.465098706558438,0.21900566040171654,28.916666666666668,direct,2,development
SeasonalNaive,realized,model_specific,global,12,347,347,344,344,0.9913544668587896,31.786821705426355,54.60718899961137,166.5197244870042,0.5825608240099449,0.5599431534178035,0.8879277209342932,6.410852713178295,0.11749245249511633,344.0,direct,2,development
SeasonalNaive,realized,model_specific,mean_fold,12,347,347,344,344,0.9913544668587896,31.0979012345679,42.48713731345276,162.39319754393918,0.8421352322892349,0.5587896925359973,0.8028851261401592,5.974074074074074,0.5026133955605385,28.666666666666668,direct,2,development
MovingAvg28,realized,model_specific,global,12,347,347,344,344,0.9913544668587896,34.56963554061001,55.97700777894513,129.38715294562755,0.6335617808188515,0.6161335259778744,0.8616235519871995,-7.274723717702738,-0.13332471810813756,344.0,direct,2,development
MovingAvg28,realized,model_specific,mean_fold,12,347,347,344,344,0.9913544668587896,33.85104619056914,42.46783982777994,127.07626444544616,0.7447175333082506,0.6132540348778617,0.8076067617647246,-7.161226906703959,0.3425536373085099,28.666666666666668,direct,2,development
