fold,model,regime,comparison_population,MAE,RMSE,MAPE,WAPE,sMAPE,RMSLE,Bias,BiasRatio,n,strategy
3,SeasonalNaive,conditional,common,28.80952380952381,45.18965326161246,68.78794794314264,0.4935552292380486,0.45622282282860344,0.576641301927364,12.685714285714285,0.2173274596182085,210,direct
3,MovingAvg28,conditional,common,37.012736205593356,47.921559895628064,187.80261831969878,0.6340899496797687,0.6413502002578965,0.9356853160390629,21.215608465608465,0.36345878428599915,210,direct
2,NeuralNet,realized,common,5.344565328578707,7.90579929745506,83.25529869357841,0.3601921434536356,0.5041002000691466,0.6158317974543507,0.8177620681446501,0.05511233450268824,210,direct
2,Ensemble,realized,common,4.898694882979111,6.949426459986936,77.23053781096334,0.33014310828806587,0.48256122740401797,0.5802293272954006,0.17796118003060002,0.01199353267215212,210,direct
2,XGBoost,realized,common,5.020565183389754,7.026599267866412,75.23992079042313,0.3383564468908371,0.4907116664328033,0.5765796157355615,-0.2947011124520075,-0.01986111476730474,210,direct
2,LightGBM,realized,common,5.458157982286953,8.275550417659874,79.32304724554918,0.3678476175482221,0.5161529109283065,0.5959264730572962,-0.10963560612428756,-0.007388792453819123,210,direct
2,DynamicRidge,realized,common,8.542157342036566,12.193100820449295,146.95935366926943,0.575690963359332,0.651172121055147,0.8316985486995087,2.7384988430000488,0.18455865116495834,210,direct
2,SeasonalNaive,realized,common,43.99047619047619,65.41195463769455,639.8297533518556,2.9646983311938384,1.1180788468067362,1.6533843352680877,43.53333333333333,2.9338896020539154,210,direct
2,MovingAvg28,realized,common,55.63809523809524,68.00290484991955,887.171101764017,3.749679075738126,1.356299453408658,1.9364294498698782,55.63809523809524,3.749679075738126,210,direct
2,NeuralNet,conditional,common,5.344565328578707,7.90579929745506,83.25529869357841,0.3601921434536356,0.5041002000691466,0.6158317974543507,0.8177620681446501,0.05511233450268824,210,direct
2,Ensemble,conditional,common,4.898694882979111,6.949426459986936,77.23053781096334,0.33014310828806587,0.48256122740401797,0.5802293272954006,0.17796118003060002,0.01199353267215212,210,direct
2,XGBoost,conditional,common,5.020565183389754,7.026599267866412,75.23992079042313,0.3383564468908371,0.4907116664328033,0.5765796157355615,-0.2947011124520075,-0.01986111476730474,210,direct
2,LightGBM,conditional,common,5.458157982286953,8.275550417659874,79.32304724554918,0.3678476175482221,0.5161529109283065,0.5959264730572962,-0.10963560612428756,-0.007388792453819123,210,direct
2,DynamicRidge,conditional,common,8.542157342036566,12.193100820449295,146.95935366926943,0.575690963359332,0.651172121055147,0.8316985486995087,2.7384988430000488,0.18455865116495834,210,direct
2,SeasonalNaive,conditional,common,43.99047619047619,65.41195463769455,639.8297533518556,2.9646983311938384,1.1180788468067362,1.6533843352680877,43.53333333333333,2.9338896020539154,210,direct
2,MovingAvg28,conditional,common,55.63809523809524,68.00290484991955,887.171101764017,3.749679075738126,1.356299453408658,1.9364294498698782,55.63809523809524,3.749679075738126,210,direct
1,NeuralNet,realized,common,5.977451093609352,9.291725075935098,78.38040014091646,0.33199278753186034,0.45210381709386593,0.5902096707229232,2.7973995970600707,0.1553699855547778,210,direct
1,Ensemble,realized,common,5.288664846756995,7.962506935961513,66.84698355598998,0.29373700550620707,0.43411855786804765,0.5385732136299732,2.233179492124815,0.1240327144528461,210,direct
1,XGBoost,realized,common,5.265360244682857,7.717375584172248,58.353483118814175,0.29244264781364715,0.42804197852588816,0.49656187327531426,2.2740564942359924,0.1263030583944878,210,direct
1,LightGBM,realized,common,5.525200143314543,8.199644311776776,65.92313834007673,0.30687437981910975,0.44487798552229174,0.5411004647021919,1.686157727241516,0.09365065398590806,210,direct
1,DynamicRidge,realized,common,7.256824897726377,10.89005889177951,103.25173045906382,0.40305031169599026,0.4943778372929562,0.681240425691966,1.6018005417925971,0.08896538317282343,210,direct
1,SeasonalNaive,realized,common,8.357142857142858,11.490990259453584,89.07404318613001,0.46416291986247027,0.6648094282853052,0.8696015794712311,-3.1666666666666665,-0.17587939698492464,210,direct
1,MovingAvg28,realized,common,32.3704081632653,46.57350911946275,655.7937041579523,1.7978803793403104,0.93195218047567,1.4493469227661622,30.688095238095237,1.7044432689764613,210,direct
1,NeuralNet,conditional,common,5.977451093609352,9.291725075935098,78.38040014091646,0.33199278753186034,0.45210381709386593,0.5902096707229232,2.7973995970600707,0.1553699855547778,210,direct
1,Ensemble,conditional,common,5.288664846756995,7.962506935961513,66.84698355598998,0.29373700550620707,0.43411855786804765,0.5385732136299732,2.233179492124815,0.1240327144528461,210,direct
1,XGBoost,conditional,common,5.265360244682857,7.717375584172248,58.353483118814175,0.29244264781364715,0.42804197852588816,0.49656187327531426,2.2740564942359924,0.1263030583944878,210,direct
1,LightGBM,conditional,common,5.525200143314543,8.199644311776776,65.92313834007673,0.30687437981910975,0.44487798552229174,0.5411004647021919,1.686157727241516,0.09365065398590806,210,direct
1,DynamicRidge,conditional,common,7.256824897726377,10.89005889177951,103.25173045906382,0.40305031169599026,0.4943778372929562,0.681240425691966,1.6018005417925971,0.08896538317282343,210,direct
1,SeasonalNaive,conditional,common,8.357142857142858,11.490990259453584,89.07404318613001,0.46416291986247027,0.6648094282853052,0.8696015794712311,-3.1666666666666665,-0.17587939698492464,210,direct
1,MovingAvg28,conditional,common,32.3704081632653,46.57350911946275,655.7937041579523,1.7978803793403104,0.93195218047567,1.4493469227661622,30.688095238095237,1.7044432689764613,210,direct
0,NeuralNet,realized,common,6.7150684652216635,8.879466076499707,40.72590031454564,0.29415193527253847,0.360034097652159,0.5381850413830881,0.4329602069363207,0.018965716198712422,210,direct
0,Ensemble,realized,common,6.325448121335372,8.563781619679636,35.24115784162793,0.2770847111974193,0.3430539547093586,0.5558940479951311,-0.9357686272352634,-0.04099111633696398,210,direct
0,XGBoost,realized,common,6.299336966162636,8.931176058796831,34.48722554921868,0.2759409184176374,0.3400898694436156,0.5441970319146413,-1.592309795390992,-0.06975074197582568,210,direct
0,LightGBM,realized,common,6.5647895709034945,9.10836503589286,34.413108303163206,0.28756900498325694,0.3619454290677104,0.6540174069106341,-1.7783509048322836,-0.07790022737062569,210,direct
0,DynamicRidge,realized,common,7.941276891565039,10.375159334402463,52.4603483218599,0.3478656961261281,0.4450203506190818,0.6804964981210625,-2.4640418286479653,-0.10793675094202602,210,direct
0,SeasonalNaive,realized,common,11.938095238095238,16.375213557313355,60.78776089808279,0.5229453483521068,0.6897035196959288,0.9762056923969371,-4.8238095238095235,-0.21130579891531082,210,direct
0,MovingAvg28,realized,common,23.654591836734696,37.386497730932675,306.24922424892463,1.0361836223851244,0.6653000539614558,1.1556112014656172,17.739285714285714,0.7770650813516896,210,direct
0,NeuralNet,conditional,common,6.7150684652216635,8.879466076499707,40.72590031454564,0.29415193527253847,0.360034097652159,0.5381850413830881,0.4329602069363207,0.018965716198712422,210,direct
0,Ensemble,conditional,common,6.325448121335372,8.563781619679636,35.24115784162793,0.2770847111974193,0.3430539547093586,0.5558940479951311,-0.9357686272352634,-0.04099111633696398,210,direct
0,XGBoost,conditional,common,6.299336966162636,8.931176058796831,34.48722554921868,0.2759409184176374,0.3400898694436156,0.5441970319146413,-1.592309795390992,-0.06975074197582568,210,direct
0,LightGBM,conditional,common,6.5647895709034945,9.10836503589286,34.413108303163206,0.28756900498325694,0.3619454290677104,0.6540174069106341,-1.7783509048322836,-0.07790022737062569,210,direct
0,DynamicRidge,conditional,common,7.941276891565039,10.375159334402463,52.4603483218599,0.3478656961261281,0.4450203506190818,0.6804964981210625,-2.4640418286479653,-0.10793675094202602,210,direct
0,SeasonalNaive,conditional,common,11.938095238095238,16.375213557313355,60.78776089808279,0.5229453483521068,0.6897035196959288,0.9762056923969371,-4.8238095238095235,-0.21130579891531082,210,direct
0,MovingAvg28,conditional,common,23.654591836734696,37.386497730932675,306.24922424892463,1.0361836223851244,0.6653000539614558,1.1556112014656172,17.739285714285714,0.7770650813516896,210,direct
