tier,stage,candidate,model,WAPE,test_aligned_WAPE,BiasRatio,Coverage,selected,description
C2,C2,single_event,MovingAvg28,0.4444305080765778,0.4384617696253425,0.0093935741339985,1.0,False,"groups=event, half-life=365.0"
C2,C2,forward_1_price,MovingAvg28,0.4444305080765778,0.4384617696253425,0.0093935741339985,1.0,False,"groups=price, half-life=365.0"
C2,C2,forward_1_campaign,MovingAvg28,0.4444305080765778,0.4384617696253425,0.0093935741339985,1.0,False,"groups=campaign, half-life=365.0"
C2,C2,forward_1_lifecycle,MovingAvg28,0.4444305080765778,0.4384617696253425,0.0093935741339985,1.0,False,"groups=lifecycle, half-life=365.0"
C2,C2,forward_1_market,MovingAvg28,0.4444305080765778,0.4384617696253425,0.0093935741339985,1.0,False,"groups=market, half-life=365.0"
C2,C2,forward_1_event,MovingAvg28,0.4444305080765778,0.4384617696253425,0.0093935741339985,1.0,False,"groups=event, half-life=365.0"
C2,C2,sensitivity_half_90p0,MovingAvg28,0.4444305080765778,0.4384617696253425,0.0093935741339985,1.0,False,"groups=price,campaign,lifecycle,market,event, half-life=90.0"
C2,C2,control,SeasonalNaive,0.5504337381556119,0.6160467728032073,0.2947284131856399,1.0,False,"groups=none, half-life=365.0"
C2,C2,single_price,SeasonalNaive,0.5504337381556119,0.6160467728032073,0.2947284131856399,1.0,False,"groups=price, half-life=365.0"
C2,C2,single_campaign,SeasonalNaive,0.5504337381556119,0.6160467728032073,0.2947284131856399,1.0,False,"groups=campaign, half-life=365.0"
C2,C2,single_lifecycle,SeasonalNaive,0.5504337381556119,0.6160467728032073,0.2947284131856399,1.0,False,"groups=lifecycle, half-life=365.0"
C2,C2,single_market,SeasonalNaive,0.5504337381556119,0.6160467728032073,0.2947284131856399,1.0,False,"groups=market, half-life=365.0"
C2,C2,single_event,SeasonalNaive,0.5504337381556119,0.6160467728032073,0.2947284131856399,1.0,False,"groups=event, half-life=365.0"
C2,C2,forward_1_price,SeasonalNaive,0.5504337381556119,0.6160467728032073,0.2947284131856399,1.0,False,"groups=price, half-life=365.0"
C2,C2,forward_1_campaign,SeasonalNaive,0.5504337381556119,0.6160467728032073,0.2947284131856399,1.0,False,"groups=campaign, half-life=365.0"
C2,C2,forward_1_lifecycle,SeasonalNaive,0.5504337381556119,0.6160467728032073,0.2947284131856399,1.0,False,"groups=lifecycle, half-life=365.0"
C2,C2,forward_1_market,SeasonalNaive,0.5504337381556119,0.6160467728032073,0.2947284131856399,1.0,False,"groups=market, half-life=365.0"
C2,C2,forward_1_event,SeasonalNaive,0.5504337381556119,0.6160467728032073,0.2947284131856399,1.0,False,"groups=event, half-life=365.0"
C2,C2,sensitivity_half_90p0,SeasonalNaive,0.5504337381556119,0.6160467728032073,0.2947284131856399,1.0,False,"groups=price,campaign,lifecycle,market,event, half-life=90.0"
C3/C4,c2_gate,base_half_none,NeuralNet,0.2753223457366895,0.2754822077140401,-0.0956985042171408,1.0,True,"loss=huber, target=residual, channel_aux=0.0, tree=log1p"
C3/C4,c2_gate,base_half_365p0,NeuralNet,0.2775814910660908,0.2762602491588985,-0.1000631340705549,1.0,False,"loss=huber, target=residual, channel_aux=0.0, tree=log1p"
C3/C4,channel_aux,channel_control,NeuralNet,0.2604858046529504,0.2620691017631456,-0.0650969366740445,1.0,True,"loss=mse, target=residual, channel_aux=0.0, tree=log1p"
C3/C4,channel_aux,channel_history_aux_0p2,NeuralNet,0.2626532134273147,0.274208931756016,-0.0977879488692632,1.0,False,"loss=mse, target=residual, channel_aux=0.2, tree=log1p"
C3/C4,channel_aux,channel_history_aux_0p35,NeuralNet,0.2662347591450308,0.2751430394763433,-0.1048234022405175,1.0,False,"loss=mse, target=residual, channel_aux=0.35, tree=log1p"
C3/C4,channel_aux,channel_history_aux_0p1,NeuralNet,0.2639491596323066,0.2760349990041329,-0.0932085327892956,1.0,False,"loss=mse, target=residual, channel_aux=0.1, tree=log1p"
C3/C4,channel_aux,channel_history_aux_0p05,NeuralNet,0.2630332400351061,0.2761547140079637,-0.0809963396606805,1.0,False,"loss=mse, target=residual, channel_aux=0.05, tree=log1p"
C3/C4,channel_aux,channel_history_only,NeuralNet,0.2721191772473363,0.2851324556176678,-0.0732203019131656,1.0,False,"loss=mse, target=residual, channel_aux=0.0, tree=log1p"
C3/C4,final_sensitivity,final_half_none,NeuralNet,0.2604858046529504,0.2620691017631456,-0.0650969366740445,1.0,True,"loss=mse, target=residual, channel_aux=0.0, tree=log1p"
C3/C4,final_sensitivity,final_half_365p0,NeuralNet,0.2741826477453256,0.2760962503115413,-0.1001368637896455,1.0,False,"loss=mse, target=residual, channel_aux=0.0, tree=log1p"
C3/C4,nn_loss,loss_mse,NeuralNet,0.2604858046529504,0.2620691017631456,-0.0650969366740445,1.0,True,"loss=mse, target=residual, channel_aux=0.0, tree=log1p"
C3/C4,nn_loss,loss_combined,NeuralNet,0.264139697352392,0.2644159845687416,-0.0788544646761709,1.0,False,"loss=combined, target=residual, channel_aux=0.0, tree=log1p"
C3/C4,nn_loss,loss_logcosh,NeuralNet,0.2707720537518249,0.2716715792971104,-0.0842139871217851,1.0,False,"loss=logcosh, target=residual, channel_aux=0.0, tree=log1p"
C3/C4,nn_loss,loss_huber,NeuralNet,0.2753223457366895,0.2754822077140401,-0.0956985042171408,1.0,False,"loss=huber, target=residual, channel_aux=0.0, tree=log1p"
C3/C4,nn_target,target_residual,NeuralNet,0.2604858046529504,0.2620691017631456,-0.0650969366740445,1.0,True,"loss=mse, target=residual, channel_aux=0.0, tree=log1p"
C3/C4,nn_target,target_log1p,NeuralNet,0.2892647344749973,0.2869436583875471,-0.1054840466822354,1.0,False,"loss=mse, target=log1p, channel_aux=0.0, tree=log1p"
C3/C4,tree_target,tree_log1p,LightGBM,0.2731925347515408,0.2630754551529247,-0.0180804101405467,1.0,False,"loss=huber, target=residual, channel_aux=0.0, tree=log1p"
C3/C4,tree_target,tree_tweedie,LightGBM,0.2684868114312468,0.2657565580682914,0.0172318438336255,1.0,False,"loss=huber, target=residual, channel_aux=0.0, tree=tweedie"
C3/C4,tree_target,tree_residual,XGBoost,0.2830134824043629,0.2701761725685107,-0.0428080809732058,1.0,False,"loss=huber, target=residual, channel_aux=0.0, tree=residual"
C3/C4,tree_target,tree_tweedie,XGBoost,0.2805473984138965,0.2733350514158418,0.0120700561632767,1.0,False,"loss=huber, target=residual, channel_aux=0.0, tree=tweedie"
C3/C4,tree_target,tree_log1p,XGBoost,0.2816878926717406,0.2737582513365337,-0.0326957147143384,1.0,False,"loss=huber, target=residual, channel_aux=0.0, tree=log1p"
C3/C4,tree_target,tree_residual,LightGBM,0.2776130268526987,0.2738233484713813,-0.0316317799395845,1.0,False,"loss=huber, target=residual, channel_aux=0.0, tree=residual"
