origin_type,strategy,origin,validation_stratum,ProductId,DateKey,horizon,actual,model,prediction,absolute_error,signed_error
development,direct,2022-11-20,holiday_event,1,2022-11-27,7,466.0,XGBoost,321.3927917480469,144.60720825195312,-144.60720825195312
development,direct,2022-11-20,holiday_event,4,2022-11-25,5,359.0,XGBoost,232.5760498046875,126.4239501953125,-126.4239501953125
development,direct,2024-11-29,holiday_event,11,2024-12-01,2,232.0,XGBoost,110.0847396850586,121.9152603149414,-121.9152603149414
development,direct,2023-11-24,holiday_event,5,2023-12-01,7,80.0,XGBoost,193.61912536621094,113.61912536621094,113.61912536621094
development,direct,2024-11-29,holiday_event,25,2024-12-01,2,258.0,XGBoost,145.5873565673828,112.41264343261719,-112.41264343261719
development,direct,2022-11-20,holiday_event,25,2022-11-27,7,199.0,XGBoost,87.44097900390625,111.55902099609375,-111.55902099609375
development,direct,2024-11-29,holiday_event,1,2024-12-01,2,300.0,XGBoost,193.36279296875,106.63720703125,-106.63720703125
development,direct,2023-11-24,holiday_event,11,2023-11-25,1,136.0,XGBoost,240.20343017578125,104.20343017578125,104.20343017578125
development,direct,2024-11-29,holiday_event,3,2024-12-02,3,208.0,XGBoost,105.12970733642578,102.87029266357422,-102.87029266357422
development,direct,2024-11-29,holiday_event,27,2024-12-01,2,176.0,XGBoost,74.8680648803711,101.1319351196289,-101.1319351196289
development,direct,2022-11-20,holiday_event,15,2022-11-27,7,148.0,XGBoost,53.457603454589844,94.54239654541016,-94.54239654541016
development,direct,2022-11-20,holiday_event,13,2022-11-27,7,234.0,XGBoost,141.4451904296875,92.5548095703125,-92.5548095703125
development,direct,2024-11-29,holiday_event,8,2024-12-01,2,208.0,XGBoost,125.18102264404297,82.81897735595703,-82.81897735595703
development,direct,2022-11-20,holiday_event,1,2022-11-25,5,346.0,XGBoost,264.0277404785156,81.97225952148438,-81.97225952148438
development,direct,2024-11-29,holiday_event,3,2024-12-05,6,202.0,XGBoost,120.29479217529297,81.70520782470703,-81.70520782470703
development,direct,2022-11-20,holiday_event,4,2022-11-21,1,244.0,XGBoost,162.55470275878906,81.44529724121094,-81.44529724121094
development,direct,2024-11-29,holiday_event,1,2024-12-06,7,146.0,XGBoost,225.8755340576172,79.87553405761719,79.87553405761719
