ProductId,horizon,DateKey,origin,origin_type,strategy,validation_stratum,pred_NeuralNet,pred_AppShare_NeuralNet,pred_QuantityApp_NeuralNet,pred_QuantityWeb_NeuralNet,actual_AppShare,fallback_NeuralNet,nonfinite_NeuralNet,catastrophic_NeuralNet,residual_guard_NeuralNet,residual_nonfinite_NeuralNet,residual_raw_min_NeuralNet,residual_raw_max_NeuralNet,safety_limit_NeuralNet,pred_NeuralNet_seed42,actual,ProductAvailable,baseline,pred_SeasonalNaive,pred_MovingAvg28
29,2,2025-02-12,2025-02-10,development,direct,winter_test_like,61.570044807483555,0.40000638,24.62841096506899,36.94163200748424,0.38372093023255816,False,False,False,False,False,,,,61.570044807483555,86.0,True,60.2,49.0,52.857142857142854
30,2,2025-02-12,2025-02-10,development,direct,winter_test_like,54.207084746514845,0.3786318,20.524526092720127,33.6825570382977,0.40540540540540543,False,False,False,False,False,,,,54.207084746514845,74.0,True,29.7,30.0,31.333333333333332
1,3,2025-02-13,2025-02-10,development,direct,winter_test_like,11.795378708597058,0.30177245,3.559520277787692,8.235858079279687,0.3076923076923077,False,False,False,False,False,,,,11.795378708597058,13.0,True,25.1,35.0,18.962962962962962
2,3,2025-02-13,2025-02-10,development,direct,winter_test_like,15.569294685196981,0.2906742,4.52559242656701,11.043702258629972,0.16,False,False,False,False,False,,,,15.569294685196981,25.0,True,36.2,46.0,25.928571428571427
3,3,2025-02-13,2025-02-10,development,direct,winter_test_like,16.01489824466109,0.3512434,5.62512741475326,10.38977130718899,0.0625,False,False,False,False,False,,,,16.01489824466109,16.0,True,16.9,24.0,14.75
4,3,2025-02-13,2025-02-10,development,direct,winter_test_like,7.869494311100893,0.3602928,2.8353220794948744,5.034172231606019,0.3333333333333333,False,False,False,False,False,,,,7.869494311100893,9.0,True,16.2,18.0,11.107142857142858
5,3,2025-02-13,2025-02-10,development,direct,winter_test_like,35.399473311604595,0.4288186,15.179953056706497,20.219521309884612,0.24324324324324326,False,False,False,False,False,,,,35.399473311604595,74.0,True,118.0,215.0,70.92857142857143
6,3,2025-02-13,2025-02-10,development,direct,winter_test_like,26.930549347088537,0.48917615,13.17378255839625,13.756766788692287,0.29545454545454547,False,False,False,False,False,,,,26.930549347088537,44.0,True,30.1,36.0,35.57142857142857
7,3,2025-02-13,2025-02-10,development,direct,winter_test_like,21.047594104042666,0.41397637,8.713206631540592,12.334387472502074,0.3,False,False,False,False,False,,,,21.047594104042666,30.0,True,33.9,49.0,32.285714285714285
8,3,2025-02-13,2025-02-10,development,direct,winter_test_like,21.168323553211746,0.40210915,8.511976508734996,12.65634704447675,0.26666666666666666,False,False,False,False,False,,,,21.168323553211746,60.0,True,75.8,141.0,59.32142857142857
9,3,2025-02-13,2025-02-10,development,direct,winter_test_like,34.355151559001534,0.5381523,18.48830305429116,15.866848504710378,0.4594594594594595,False,False,False,False,False,,,,34.355151559001534,37.0,True,57.2,94.0,48.214285714285715
10,3,2025-02-13,2025-02-10,development,direct,winter_test_like,24.147100991732152,0.46424377,11.210141190416936,12.936959801315217,0.5,False,False,False,False,False,,,,24.147100991732152,30.0,True,38.9,52.0,32.17857142857143
11,3,2025-02-13,2025-02-10,development,direct,winter_test_like,8.062706832935769,0.43817124,3.532846232257265,4.529860360391115,0.3,False,False,False,False,False,,,,8.062706832935769,10.0,True,18.7,15.0,19.964285714285715
12,3,2025-02-13,2025-02-10,development,direct,winter_test_like,16.75460059810141,0.48830715,8.181391237593092,8.573209859834325,0.40540540540540543,False,False,False,False,False,,,,16.75460059810141,37.0,True,38.8,63.0,35.642857142857146
13,3,2025-02-13,2025-02-10,development,direct,winter_test_like,39.68977546588852,0.5369659,21.31205626658608,18.377719199302444,0.5714285714285714,False,False,False,False,False,,,,39.68977546588852,28.0,True,73.2,125.0,54.392857142857146
14,3,2025-02-13,2025-02-10,development,direct,winter_test_like,21.776482801594415,0.57779175,12.582272116165129,9.194210685429287,0.5555555555555556,False,False,False,False,False,,,,21.776482801594415,36.0,True,30.7,41.0,33.285714285714285
15,3,2025-02-13,2025-02-10,development,direct,winter_test_like,19.4337988693702,0.4279397,8.316494310682325,11.117304558687875,0.4482758620689655,False,False,False,False,False,,,,19.4337988693702,29.0,True,37.9,52.0,33.607142857142854
16,3,2025-02-13,2025-02-10,development,direct,winter_test_like,13.228084549826685,0.35063756,4.638263225503298,8.589821324323387,0.41509433962264153,False,False,False,False,False,,,,13.228084549826685,53.0,True,12.1,5.0,17.571428571428573
17,3,2025-02-13,2025-02-10,development,direct,winter_test_like,3.6442382492400003,0.317928,1.1586053284823792,2.4856330293643842,0.5,False,False,False,False,False,,,,3.6442382492400003,8.0,True,50.9,92.0,38.5
18,3,2025-02-13,2025-02-10,development,direct,winter_test_like,18.776725620764406,0.525565,9.868390330204447,8.90833529055996,0.3448275862068966,False,False,False,False,False,,,,18.776725620764406,29.0,True,47.6,66.0,38.142857142857146
